"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"AMACR","4722771","VCV004722771","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4723599","VCV004723599","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4764408","VCV004764408","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4765925","VCV004765925","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4767540","VCV004767540","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4767685","VCV004767685","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4777774","VCV004777774","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4808784","VCV004808784","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","4810218","VCV004810218","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","501618","VCV000501618","migraine","AMACR-related condition | AMACR-Related Disorders | AMACR-related disorder | none provided | not provided | not specified | AllHighlyPenetrant | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Not provided","Conflicting classifications of pathogenicity","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","5523","VCV000005523","migraine","Autosomal recessive AMACR-related disorders | AMACR-Related Disorders | AMACR-related disorder | AMACR-related condition | Inborn genetic diseases | none provided | not provided | Congenital bile acid synthesis defect 4 | TRIHYDROXYCOPROSTANIC ACID IN BILE | CHOLESTASIS, INTRAHEPATIC, WITH DEFECTIVE CONVERSION OF TRIHYDROXYCOPROSTANIC ACID TO CHOLIC ACID | CBAS4 | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Not provided | ALPHA-METHYLACYL-CoA RACEMASE DEFICIENCY | BILE ACID SYNTHESIS DEFECT, CONGENITAL, 4 | Not Provided","Pathogenic/Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","597405","VCV000597405","migraine","not provided | none provided | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Not provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","597697","VCV000597697","migraine","Inborn genetic diseases | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM | none provided | not provided | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | TRIHYDROXYCOPROSTANIC ACID IN BILE | CHOLESTASIS, INTRAHEPATIC, WITH DEFECTIVE CONVERSION OF TRIHYDROXYCOPROSTANIC ACID TO CHOLIC ACID | Congenital bile acid synthesis defect 4 | CBAS4 | Polycystic kidney disease | hyperbilirubinemia | perinatal CNS injury","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"AMIGO3","1068732","VCV001068732","migraine","Aicardi-Goutieres syndrome 1 | CREE ENCEPHALITIS | ENCEPHALOPATHY, FAMILIAL INFANTILE, WITH INTRACRANIAL CALCIFICATION AND CHRONIC CEREBROSPINAL FLUID LYMPHOCYTOSIS | PSEUDOTOXOPLASMOSIS SYNDROME | AGS | AGS1 | Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations | CEREBRORETINAL VASCULOPATHY, HEREDITARY | RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA | CRV | RVCLS | RVCL | Chilblain lupus 1 | CHBL1","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"AMT","1068732","VCV001068732","migraine","Aicardi-Goutieres syndrome 1 | CREE ENCEPHALITIS | ENCEPHALOPATHY, FAMILIAL INFANTILE, WITH INTRACRANIAL CALCIFICATION AND CHRONIC CEREBROSPINAL FLUID LYMPHOCYTOSIS | PSEUDOTOXOPLASMOSIS SYNDROME | AGS | AGS1 | Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations | CEREBRORETINAL VASCULOPATHY, HEREDITARY | RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA | CRV | RVCLS | RVCL | Chilblain lupus 1 | CHBL1","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ANK2","985206","VCV000985206","migraine","Inborn genetic diseases | Autistic disorder of childhood onset | Growth hormone deficiency | Global developmental delay | Seizures | Aortic dilatation | Chest pain | Migraine | Paresthesia | Failure to thrive | Delayed skeletal maturation | Tics | Attention deficit hyperactivity disorder | Sleep disturbance | Mood changes | Dental crowding | Pectus excavatum | Hyperextensibility at elbow | Clumsiness | Malar flattening | Upslanted palpebral fissure | Macrotia | Abnormality of the lip | Heart murmur | Asthma | Constipation | Muscle weakness | Bruising susceptibility | Myalgia | Visual impairment","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ANKRD11","986142","VCV000986142","migraine","not provided | none provided | Inborn genetic diseases | Global developmental delay | Dysarthria | Apraxia | Attention deficit hyperactivity disorder | Aggressive behavior | Oppositional defiant disorder | Macrotia | Plagiocephaly | 2-3 toe syndactyly | Cleft uvula | Obstructive sleep apnea syndrome | Migraine | Myopia (disease) | Bone cyst | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ANO5","194805","VCV000194805","migraine","GNATHODIAPHYSEAL SCLEROSIS | Gnathodiaphyseal dysplasia | OSTEOGENESIS IMPERFECTA WITH UNUSUAL SKELETAL LESIONS | GDD | Limb-girdle muscular dystrophy, type 2L | Autosomal recessive limb-girdle muscular dystrophy type 2L | MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 12 | LGMDR12 | Autosomal recessive limb-girdle muscular dystrophy | Miyoshi myopathy 3 | Miyoshi muscular dystrophy 3 | MMD3 | not provided | none provided | Not Provided | Migraine | Peripheral neuropathy | Skin rash | Arthralgia | IgA deficiency | IgG deficiency | IgM deficiency | Fever | Goiter | Heat intolerance | Immunodeficiency | Abnormality of B cell number | Decreased antibody level in blood | Muscular dystrophy, limb-girdle, type 2l | Not provided","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"APEH","1068732","VCV001068732","migraine","Aicardi-Goutieres syndrome 1 | CREE ENCEPHALITIS | ENCEPHALOPATHY, FAMILIAL INFANTILE, WITH INTRACRANIAL CALCIFICATION AND CHRONIC CEREBROSPINAL FLUID LYMPHOCYTOSIS | PSEUDOTOXOPLASMOSIS SYNDROME | AGS | AGS1 | Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations | CEREBRORETINAL VASCULOPATHY, HEREDITARY | RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA | CRV | RVCLS | RVCL | Chilblain lupus 1 | CHBL1","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ARHGAP36","1710922","VCV001710922","migraine","See cases | Ehlers-Danlos syndrome, unspecified/Chronic migraine without aura, not intractable, with status migrainosus | see cases","Pathogenic","""migraine""","ClinVar_XML"
"ARIH2","1068732","VCV001068732","migraine","Aicardi-Goutieres syndrome 1 | CREE ENCEPHALITIS | ENCEPHALOPATHY, FAMILIAL INFANTILE, WITH INTRACRANIAL CALCIFICATION AND CHRONIC CEREBROSPINAL FLUID LYMPHOCYTOSIS | PSEUDOTOXOPLASMOSIS SYNDROME | AGS | AGS1 | Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations | CEREBRORETINAL VASCULOPATHY, HEREDITARY | RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA | CRV | RVCLS | RVCL | Chilblain lupus 1 | CHBL1","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ARIH2OS","1068732","VCV001068732","migraine","Aicardi-Goutieres syndrome 1 | CREE ENCEPHALITIS | ENCEPHALOPATHY, FAMILIAL INFANTILE, WITH INTRACRANIAL CALCIFICATION AND CHRONIC CEREBROSPINAL FLUID LYMPHOCYTOSIS | PSEUDOTOXOPLASMOSIS SYNDROME | AGS | AGS1 | Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations | CEREBRORETINAL VASCULOPATHY, HEREDITARY | RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA | CRV | RVCLS | RVCL | Chilblain lupus 1 | CHBL1","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ARSA","3051","VCV000003051","migraine","Neurodevelopmental disorder | none provided | not provided | Metachromatic leukodystrophy | Cerebral sclerosis diffuse metachromatic form | METACHROMATIC LEUKOENCEPHALOPATHY | ARSA DEFICIENCY | CEREBROSIDE SULFATASE DEFICIENCY | SULFATIDE LIPIDOSIS | Arylsulfatase A Deficiency | MLD | Metachromatic leukodystrophy, juvenile form | Metachromatic leukodystrophy, juvenile type | ARSA-related condition | ARSA-related disorder | See cases | Inborn genetic diseases | Metachromatic leukodystrophy, adult form | Metachromatic leukodystrophy, adult type | Intellectual disability | Intellectual functioning disability | Intellectual developmental disorder | intellectual disabilities | MR | Not provided | METACHROMATIC LEUKODYSTROPHY, JUVENILE | METACHROMATIC LEUKODYSTROPHY, ADULT | Diagnostic | Myopia (disease) | Abnormality of the nervous system | Cognitive impairment | EEG abnormality | Encephalopathy | Memory impairment | Depressivity | Delusions | Short attention span | Oral herpes | Deficiency, Arylsulfatase A | Not Provided | Short stature | Failure to thrive | Behavioral abnormality | Inguinal hernia | Autistic disorder of childhood onset | Gait disturbance | Psychosis | Exotropia | Thrombocytopenia | Hypothyroidism | Expressive language delay | Constipation | Attention deficit hyperactivity disorder | Status epilepticus | Seizures | Cerebral atrophy | Bipolar affective disorder | Migraine | Receptive language delay | Chronic obstructive airway disease from birth | Global developmental delay | Feeding difficulties | Inappropriate behavior","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ASPHD1","2506560","VCV002506560","migraine","Infantile convulsions and choreoathetosis | PAROXYSMAL KINESIGENIC DYSKINESIA WITH INFANTILE CONVULSIONS | ICCA | PKD/IC","Pathogenic","""migraine""","ClinVar_XML"
"ASXL3","986164","VCV000986164","migraine","Inborn genetic diseases | Bainbridge-Ropers syndrome | Severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome | BRPS | Intellectual disability | Intellectual functioning disability | intellectual disabilities | Intellectual developmental disorder | MR | Global developmental delay | Craniosynostosis | Abnormality of the corpus callosum | Failure to thrive | Episodic vomiting | Feeding difficulties | Muscular hypotonia | Hypertonia | Decreased muscle mass | Obstructive sleep apnea syndrome | Spasticity | Abnormality of the Achilles tendon | Joint hyperflexibility | Hip dislocation | Exotropia | Hypermetropia | Migraine | Hyperpigmented nevi | Abnormality of long bone morphology | Prominent forehead | Dolichocephaly | Upslanted palpebral fissure | Epicanthus | Depressed nasal bridge | Thin upper lip vermilion | Curly hair | Ptosis | Broad eyebrow | Synophrys | Long eyelashes | Ear malformation | Abnormality of the external nose | Single transverse palmar crease","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATL1","450586","VCV000450586","migraine","not provided | none provided | Hereditary spastic paraplegia 3A | Spastic paraplegia 3A, autosomal dominant | SPG3 | STRUMPELL DISEASE | SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT | FAMILIAL SPASTIC PARAPLEGIA, AUTOSOMAL DOMINANT, 1 | FSP1 | SPG3A | Not Provided | Seizures | Dystonia | Spasticity | Migraine | Abnormality of the cerebral white matter | Dysarthria | Mutism | Hypermetropia | Abnormality of skin pigmentation | Anemia | Generalized muscle weakness | Language impairment | Spastic paraplegia 3, autosomal dominant","Conflicting classifications of pathogenicity","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1007384","VCV001007384","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1012045","VCV001012045","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1013256","VCV001013256","migraine","Familial hemiplegic migraine | not provided | none provided","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1014939","VCV001014939","migraine","not provided | none provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1017736","VCV001017736","migraine","none provided | not provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1020311","VCV001020311","migraine","Familial hemiplegic migraine | none provided | not provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1029935","VCV001029935","migraine","Alternating hemiplegia of childhood 1 | AHC1 | Familial hemiplegic migraine","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1042765","VCV001042765","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1047163","VCV001047163","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1052245","VCV001052245","migraine","none provided | not provided | Inborn genetic diseases | Developmental and epileptic encephalopathy 98 | DEE98 | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1056164","VCV001056164","migraine","Inborn genetic diseases | not provided | none provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1056237","VCV001056237","migraine","not provided | none provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1057652","VCV001057652","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Likely benign","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1062809","VCV001062809","migraine","none provided | not provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1064213","VCV001064213","migraine","Familial hemiplegic migraine","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1068179","VCV001068179","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided | Not provided","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1071760","VCV001071760","migraine","Familial hemiplegic migraine","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1072573","VCV001072573","migraine","Familial hemiplegic migraine | Migraine, familial hemiplegic, 2 | MHP2 | FHM2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1210942","VCV001210942","migraine","Inborn genetic diseases | Familial hemiplegic migraine | none provided | not provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1216390","VCV001216390","migraine","Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | Developmental and epileptic encephalopathy 98 | DEE98 | not provided | none provided | Not Provided | DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 98 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","128479","VCV000128479","migraine","Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies | FARIMPD | Developmental and epileptic encephalopathy 98 | DEE98 | Inborn genetic diseases | Familial hemiplegic migraine | AllHighlyPenetrant | not specified | none provided | not provided | Alternating hemiplegia of childhood 1 | AHC1 | Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | NOT SPECIFIED | Not specified","Benign","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","128485","VCV000128485","migraine","Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Alternating hemiplegia of childhood 1 | AHC1 | Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies | FARIMPD | Developmental and epileptic encephalopathy 98 | DEE98 | Inborn genetic diseases | Familial hemiplegic migraine | AllHighlyPenetrant | not specified | not provided | none provided | Not Provided | Not provided","Benign/Likely benign","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12917","VCV000012917","migraine","Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Familial hemiplegic migraine | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12918","VCV000012918","migraine","Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Familial hemiplegic migraine | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12919","VCV000012919","migraine","Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12920","VCV000012920","migraine","not provided | none provided | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Not Provided | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12921","VCV000012921","migraine","ATP1A2-related condition | ATP1A2-RELATED DISORDERS | ATP1A2-related disorder | Familial hemiplegic migraine | Alternating hemiplegia of childhood 1 | AHC1 | ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12922","VCV000012922","migraine","Familial hemiplegic migraine | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12923","VCV000012923","migraine","Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12924","VCV000012924","migraine","Familial hemiplegic migraine | none provided | not provided | Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2 | Not Provided","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12925","VCV000012925","migraine","Familial hemiplegic migraine | Alternating hemiplegia of childhood 1 | AHC1 | Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | not provided | none provided | MIGRAINE, FAMILIAL HEMIPLEGIC, 2 | Diagnostic | Not Provided","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12926","VCV000012926","migraine","ATP1A2-related condition | ATP1A2-RELATED DISORDERS | ATP1A2-related disorder | Developmental and epileptic encephalopathy 98 | DEE98 | Familial hemiplegic migraine | none provided | not provided | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Migraine, familial basilar | MIGRAINE, FAMILIAL BASILAR | Not Provided","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12927","VCV000012927","migraine","Familial hemiplegic migraine | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12928","VCV000012928","migraine","ATP1A2-related condition | ATP1A2-related disorder | ATP1A2-RELATED DISORDERS | Familial hemiplegic migraine | Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | Alternating hemiplegia of childhood 1 | AHC1 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12929","VCV000012929","migraine","Familial hemiplegic migraine | none provided | not provided | Migraine, familial hemiplegic, 2 | MHP2 | FHM2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2 | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","12930","VCV000012930","migraine","Inborn genetic diseases | Familial hemiplegic migraine | none provided | not provided | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 2 | Not Provided","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1303059","VCV001303059","migraine","ATP1A2-related condition | ATP1A2-RELATED DISORDERS | ATP1A2-related disorder | Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1305924","VCV001305924","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1307869","VCV001307869","migraine","none provided | not provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1308731","VCV001308731","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1310087","VCV001310087","migraine","Familial hemiplegic migraine | none provided | not provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1314296","VCV001314296","migraine","none provided | not provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1315281","VCV001315281","migraine","none provided | not provided | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM | Alternating hemiplegia of childhood 1 | AHC1 | Migraine, familial hemiplegic, 2 | FHM2 | MHP2 | Not Provided","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1321203","VCV001321203","migraine","Alternating hemiplegia of childhood 1 | AHC1 | ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1338894","VCV001338894","migraine","Familial hemiplegic migraine | none provided | not provided | Not Provided","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1347948","VCV001347948","migraine","Familial hemiplegic migraine","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1349197","VCV001349197","migraine","Familial hemiplegic migraine","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ATP1A2","1354177","VCV001354177","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1356232","VCV001356232","migraine","Inborn genetic diseases | Familial hemiplegic migraine","Pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1359599","VCV001359599","migraine","Familial hemiplegic migraine","Likely pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1364393","VCV001364393","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1366290","VCV001366290","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1372546","VCV001372546","migraine","Familial hemiplegic migraine | See cases | see cases","Pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1374551","VCV001374551","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1378908","VCV001378908","migraine","not provided | none provided | Familial hemiplegic migraine | Not Provided | seizure | dystonia | developmental regression","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1379570","VCV001379570","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1388779","VCV001388779","migraine","Familial hemiplegic migraine","Pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1394154","VCV001394154","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1401612","VCV001401612","migraine","Inborn genetic diseases | Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1408729","VCV001408729","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1409527","VCV001409527","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1409905","VCV001409905","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1409906","VCV001409906","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1411405","VCV001411405","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1411559","VCV001411559","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1414823","VCV001414823","migraine","Familial hemiplegic migraine","Likely benign","""migraine""","ClinVar_XML"
"ATP1A2","1417542","VCV001417542","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1425913","VCV001425913","migraine","Familial hemiplegic migraine | none provided | not provided | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1425949","VCV001425949","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1426304","VCV001426304","migraine","Familial hemiplegic migraine","Likely benign","""migraine""","ClinVar_XML"
"ATP1A2","1431086","VCV001431086","migraine","not provided | none provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1436297","VCV001436297","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1436881","VCV001436881","migraine","Familial hemiplegic migraine","Likely benign","""migraine""","ClinVar_XML"
"ATP1A2","1438175","VCV001438175","migraine","ATP1A2-related disorder | ATP1A2-related condition | ATP1A2-RELATED DISORDERS | Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1439209","VCV001439209","migraine","Familial hemiplegic migraine","Pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1441294","VCV001441294","migraine","not provided | none provided | Familial hemiplegic migraine | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1441397","VCV001441397","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1442146","VCV001442146","migraine","Familial hemiplegic migraine | not provided | none provided | Not Provided","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1442362","VCV001442362","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1448026","VCV001448026","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1448235","VCV001448235","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
"ATP1A2","1454643","VCV001454643","migraine","Familial hemiplegic migraine","Likely benign","""migraine""","ClinVar_XML"
"ATP1A2","1459217","VCV001459217","migraine","Familial hemiplegic migraine","Pathogenic","""migraine""","ClinVar_XML"
"ATP1A2","1460480","VCV001460480","migraine","Familial hemiplegic migraine","Uncertain significance","""migraine""","ClinVar_XML"
